,locationID,latitude,longitude,category,results_total,avg_rating,avg_review_count,City,State/Province,Country
1192,82,13.8250489,-60.975035999999996,,,,,Saint Lucia,,Saint Lucia
1193,84,24.7736546,-78.0000547,,,,,Bahamas,,Bahamas
1194,86,-8.456018100000001,115.27038551191185,,,,,Bali,Indonesia,Indonesia
1195,91,13.7524938,100.49350890000001,,,,,Bangkok,,Thailand
1196,92,28.613895399999997,77.2090057,,,,,New Delhi,,India
1197,96,47.48138955,19.14609412691246,,,,,Budapest,,Hungary
1198,97,19.0785451,72.878176,,,,,Mumbai,,India
1199,99,44.4361414,26.1027202,,,,,Bucharest,,Romania
1200,100,7.8847901,98.3891503,,,,,Phuket,,Thailand
1201,101,18.788277800000003,98.9858802,,,,,Chiang Mai,,Thailand
1202,103,-6.175247,106.82704879999999,,,,,Jakarta,,Indonesia
1203,106,42.6977028,23.3217359,,,,,Sofia,,Bulgaria
1204,108,21.0283207,105.85402169999999,,,,,Hanoi,,Vietnam
1205,111,10.7763897,106.70113909999998,,,,,Ho Chi Minh City,,Vietnam
1206,113,44.8178131,20.4568974,,,,,Belgrade,,Serbia
1207,115,13.3617562,103.8590321,,,,,Siem Reap,,Cambodia
1208,118,50.4500336,30.524136100000003,,,,,Kyiv,,Ukraine
1209,120,55.7504461,37.6174943,,,,,Moscow,,Russia
1210,121,15.879813699999998,108.3273939,,,,,Hoi An,,Vietnam
1211,123,6.9387469,79.8541134,,,,,Colombo,,Sri Lanka
1212,124,37.5666791,126.97829140000002,,,,,Seoul,,South Korea
1213,131,31.6258257,-7.9891608,,,,,Marrakech,,Morocco
1214,134,6.2443382000000005,-75.573553,,,,,Medellin,,Colombia
1215,136,27.708316999999997,85.3205817,,,,,Kathmandu,,Nepal
1216,141,-26.205,28.049721999999996,,,,,Johannesburg,,South Africa
1217,146,37.9755648,23.7348324,,,,,Athens,,Greece
1218,147,11.568271000000001,104.9224426,,,,,Phnom Penh,,Cambodia
1219,148,39.9057136,116.39129720000001,,,,,Beijing,,China
1220,150,-12.0621065,-77.03652559999999,,,,,Lima,,Peru
1221,153,53.9024716,27.561822499999998,,,,,Minsk,,Belarus
1222,154,10.4266746,-75.5443419,,,,,Cartagena,,Colombia
1223,157,46.0500268,14.506928899999998,,,,,Ljubljana,,Slovenia
1224,158,-0.2201641,-78.5123274,,,,,Quito,,Ecuador
1225,164,59.4372155,24.745368799999998,,,,,Tallinn,,Estonia
1226,165,45.84264135,15.962231476593626,,,,,Zagreb,,Croatia
1227,166,34.2607713,108.9423443,,,,,Xi'an,,China
1228,167,16.7967129,96.1609916,,,,,Yangon,,Myanmar
1229,173,-16.3988667,-71.53696070000001,,,,,Arequipa,,Peru
1230,174,-34.905891600000004,-56.191309499999996,,,,,Montevideo,,Uruguay
1231,176,43.511638299999994,16.4399659,,,,,Split,,Croatia
1232,177,28.209538000000002,83.99140200000001,,,,,Pokhara,,Nepal
1233,180,31.232343699999998,121.4691024,,,,,Shanghai,,China
1234,182,56.949397700000006,24.1051846,,,,,Riga,,Latvia
1235,186,54.6870458,25.2829111,,,,,Vilnius,,Lithuania
1236,190,39.7837304,-100.445882,,,,,Honolulu,Hawaii,United States
1237,197,43.17389195,16.556523494578517,,,,,Hvar,,Croatia
1238,199,9.932542699999999,-84.0795782,,,,,San Jose,,Costa Rica
1239,200,24.453835199999997,54.3774014,,,,,Abu Dhabi,,United Arab Emirates
1240,203,17.964098800000002,102.6133707,,,,,Vientiane,,Laos
1241,211,-16.4955455,-68.1336229,,,,,La Paz,,Bolivia
1242,212,25.2856329,51.5264162,,,,,Doha,,Qatar
1243,214,32.0852997,34.7818064,,,,,Tel Aviv,,Israel
1244,216,14.693425,-17.447938,,,,,Dakar,,Senegal
1245,217,23.588201899999998,58.3829448,,,,,Muscat,,Oman
1246,221,29.3796532,47.9734174,,,,,Kuwait City,,Kuwait
1247,223,33.8959203,35.478429999999996,,,,,Beirut,,Lebanon
1248,226,35.898981799999994,14.513675899999999,,,,,Valletta,,Malta
1249,227,64.145981,-21.9422367,,,,,Reykjavik,,Iceland
