LocationID,April,May,June,July,August,September,October,November,December,January,February,March
72,50,60.8,69.8,73.4,75.2,66.2,64.4,48.2,42.8,46.4,44.6,48.2
73,50,60.8,69.8,73.4,75.2,66.2,64.4,48.2,42.8,46.4,44.6,48.2
74,50,60.8,69.8,73.4,75.2,66.2,64.4,48.2,42.8,46.4,44.6,48.2
75,55.4,64.4,73.4,71.6,69.8,66.2,55.4,41,41,41,44.6,39.2
76,75.2,84.2,89.6,91.4,86,82.4,77,53.6,59,62.6,53.6,60.8
77,78.8,80.6,80.6,80.6,80.6,82.4,80.6,80.6,78.8,77,77,78.8
78,75.2,84.2,98.6,100.4,93.2,87.8,78.8,57.2,48.2,53.6,51.8,66.2
79,75.2,84.2,98.6,100.4,93.2,87.8,78.8,57.2,48.2,53.6,51.8,66.2
80,75.2,84.2,98.6,100.4,93.2,87.8,78.8,57.2,48.2,53.6,51.8,66.2
81,75.2,84.2,98.6,100.4,93.2,87.8,78.8,57.2,48.2,53.6,51.8,66.2
82,33.8,46.4,53.6,55.4,53.6,42.8,41,30.2,14,15.8,28.4,26.6
83,69.8,69.8,59,57.2,59,66.2,68,69.8,71.6,75.2,75.2,77
84,60.8,69.8,80.6,82.4,84.2,80.6,73.4,68,60.8,59,55.4,60.8
85,78.8,75.2,68,66.2,68,71.6,75.2,77,80.6,78.8,80.6,82.4
86,59,66.2,69.8,75.2,69.8,69.8,66.2,62.6,59,55.4,55.4,59
87,59,68,77,80.6,80.6,77,69.8,64.4,53.6,53.6,50,57.2
88,51.8,62.6,71.6,75.2,78.8,75.2,62.6,57.2,55.4,50,41,48.2
89,87.8,80.6,80.6,78.8,77,75.2,75.2,77,73.4,73.4,75.2,82.4
90,59,69.8,86,89.6,78.8,73.4,66.2,53.6,48.2,42.8,44.6,57.2
91,66.2,62.6,60.8,68,66.2,64.4,69.8,69.8,71.6,73.4,73.4,71.6
92,73.4,71.6,68,73.4,69.8,69.8,75.2,75.2,77,78.8,78.8,77
93,71.6,69.8,64.4,64.4,62.6,60.8,60.8,62.6,59,59,62.6,64.4
94,42.8,59,62.6,62.6,69.8,57.2,53.6,42.8,23,39.2,35.6,42.8
95,80.6,80.6,78.8,80.6,78.8,78.8,78.8,77,75.2,77,77,78.8
96,84.2,84.2,84.2,78.8,80.6,80.6,77,80.6,78.8,80.6,82.4,84.2
97,82.4,84.2,80.6,82.4,82.4,80.6,80.6,80.6,77,80.6,80.6,80.6
98,86,82.4,84.2,80.6,80.6,80.6,75.2,82.4,77,78.8,82.4,86
99,59,64.4,71.6,77,68,69.8,66.2,59,53.6,53.6,53.6,55.4
100,59,68,78.8,82.4,84.2,77,71.6,64.4,59,55.4,50,62.6
101,62.6,68,73.4,77,82.4,75.2,71.6,59,51.8,53.6,53.6,57.2
102,66.2,77,89.6,98.6,91.4,84.2,78.8,51.8,44.6,48.2,48.2,60.8
103,64.4,60.8,53.6,44.6,51.8,53.6,62.6,66.2,75.2,71.6,77,73.4
104,46.4,62.6,68,66.2,77,59,55.4,46.4,26.6,41,42.8,42.8
105,59,64.4,68,78.8,82.4,77,68,59,46.4,44.6,42.8,57.2
106,46.4,64.4,69.8,71.6,71.6,69.8,51.8,39.2,35.6,37.4,35.6,33.8
107,48.2,64.4,66.2,68,73.4,60.8,57.2,46.4,30.2,39.2,41,44.6
108,53.6,60.8,71.6,77,75.2,71.6,60.8,50,37.4,41,44.6,41
109,62.6,68,77,78.8,80.6,75.2,69.8,64.4,60.8,57.2,57.2,62.6
110,75.2,82.4,87.8,87.8,84.2,80.6,77,57.2,60.8,64.4,57.2,64.4
111,62.6,73.4,84.2,89.6,78.8,77,73.4,64.4,60.8,53.6,55.4,60.8
112,71.6,71.6,77,86,84.2,80.6,71.6,73.4,60.8,62.6,62.6,66.2
113,57.2,68,77,80.6,80.6,75.2,68,62.6,55.4,53.6,50,55.4
114,62.6,69.8,75.2,78.8,73.4,71.6,69.8,64.4,60.8,57.2,57.2,60.8
115,60.8,64.4,71.6,78.8,84.2,82.4,66.2,59,46.4,46.4,44.6,55.4
116,60.8,64.4,71.6,78.8,84.2,82.4,66.2,59,46.4,46.4,44.6,55.4
117,60.8,64.4,71.6,78.8,84.2,82.4,66.2,59,46.4,46.4,44.6,55.4
118,60.8,64.4,71.6,78.8,84.2,82.4,66.2,59,46.4,46.4,44.6,55.4
119,66.2,64.4,60.8,60.8,60.8,60.8,62.6,66.2,69.8,71.6,75.2,75.2
120,44.6,62.6,62.6,69.8,68,62.6,51.8,39.2,28.4,19.4,28.4,32
121,44.6,59,64.4,64.4,73.4,57.2,55.4,42.8,24.8,41,37.4,41
122,55.4,66.2,69.8,77,77,64.4,60.8,53.6,32,44.6,46.4,50
123,44.6,55.4,64.4,69.8,69.8,68,51.8,39.2,32,30.2,35.6,32
124,53.6,66.2,77,80.6,77,69.8,62.6,53.6,44.6,44.6,42.8,51.8
125,73.4,71.6,64.4,66.2,64.4,64.4,64.4,64.4,64.4,62.6,62.6,64.4
126,51.8,57.2,59,66.2,68,57.2,51.8,51.8,32,42.8,46.4,42.8
127,71.6,78.8,84.2,82.4,80.6,78.8,73.4,57.2,62.6,60.8,57.2,62.6
128,55.4,64.4,75.2,77,73.4,71.6,59,48.2,39.2,41,48.2,42.8
129,39.2,48.2,59,60.8,69.8,51.8,50,42.8,21.2,35.6,33.8,30.2
130,46.4,57.2,60.8,62.6,73.4,59,53.6,46.4,26.6,41,42.8,41
131,57.2,68,77,82.4,80.6,77,68,62.6,57.2,53.6,50,55.4
132,41,46.4,55.4,62.6,69.8,62.6,60.8,37.4,32,41,35.6,39.2
133,55.4,71.6,78.8,84.2,77,69.8,64.4,51.8,37.4,41,44.6,51.8
134,41,50,57.2,69.8,73.4,68,66.2,41,37.4,42.8,39.2,42.8
135,55.4,68,75.2,78.8,78.8,73.4,68,60.8,55.4,53.6,50,53.6
136,80.6,80.6,80.6,84.2,82.4,82.4,82.4,78.8,78.8,75.2,75.2,78.8
137,53.6,62.6,66.2,69.8,75.2,60.8,55.4,50,30.2,42.8,46.4,46.4
138,50,53.6,57.2,62.6,62.6,57.2,51.8,51.8,37.4,42.8,48.2,42.8
139,55.4,69.8,75.2,77,77,66.2,62.6,53.6,35.6,41,42.8,50
140,60.8,69.8,80.6,84.2,84.2,80.6,71.6,64.4,57.2,55.4,50,59
141,62.6,60.8,55.4,55.4,53.6,53.6,57.2,62.6,64.4,66.2,66.2,64.4
142,53.6,60.8,66.2,73.4,73.4,60.8,55.4,51.8,32,42.8,46.4,46.4
143,41,51.8,60.8,60.8,71.6,53.6,50,44.6,21.2,37.4,35.6,32
144,84.2,86,84.2,82.4,80.6,82.4,82.4,82.4,80.6,77,80.6,80.6
145,46.4,62.6,66.2,68,69.8,57.2,57.2,44.6,24.8,39.2,39.2,42.8
146,50,62.6,66.2,73.4,69.8,68,57.2,46.4,35.6,37.4,41,37.4
147,26.6,48.2,57.2,64.4,69.8,59,50,17.6,10.4,23,26.6,15.8
148,59,66.2,75.2,80.6,78.8,73.4,68,60.8,46.4,50,48.2,57.2
149,51.8,64.4,68,69.8,75.2,59,55.4,50,30.2,42.8,44.6,44.6
150,51.8,64.4,68,69.8,75.2,59,55.4,50,30.2,42.8,44.6,44.6
151,51.8,64.4,68,69.8,75.2,59,55.4,50,30.2,42.8,44.6,44.6
152,51.8,64.4,68,69.8,75.2,59,55.4,50,30.2,42.8,44.6,44.6
153,50,60.8,62.6,66.2,73.4,60.8,53.6,50,32,42.8,44.6,44.6
154,50,64.4,68,73.4,71.6,64.4,59,51.8,46.4,42.8,39.2,44.6
155,87.8,86,95,96.8,98.6,93.2,86,82.4,73.4,69.8,71.6,80.6
156,37.4,48.2,59,60.8,68,53.6,50,42.8,21.2,35.6,33.8,30.2
157,51.8,66.2,69.8,69.8,75.2,60.8,57.2,48.2,26.6,42.8,42.8,44.6
158,87.8,80.6,82.4,82.4,80.6,78.8,73.4,80.6,69.8,75.2,82.4,84.2
159,50,64.4,69.8,69.8,73.4,59,59,48.2,26.6,41,41,44.6
160,48.2,60.8,64.4,64.4,75.2,59,55.4,48.2,26.6,41,44.6,42.8
161,42.8,53.6,60.8,62.6,69.8,59,55.4,50,32,41,41,37.4
162,46.4,62.6,66.2,66.2,75.2,59,55.4,46.4,24.8,42.8,42.8,42.8
163,51.8,60.8,64.4,68,73.4,60.8,55.4,50,32,42.8,44.6,46.4
164,46.4,44.6,39.2,44.6,44.6,46.4,46.4,50,48.2,48.2,46.4,46.4
165,41,60.8,62.6,68,66.2,62.6,48.2,35.6,26.6,17.6,28.4,30.2
166,48.2,53.6,55.4,62.6,60.8,53.6,50,50,30.2,39.2,42.8,37.4
167,42.8,51.8,60.8,62.6,68,53.6,46.4,41,14,30.2,32,23
168,48.2,51.8,55.4,60.8,62.6,51.8,48.2,50,28.4,37.4,42.8,37.4
169,48.2,51.8,55.4,62.6,62.6,55.4,50,51.8,35.6,39.2,46.4,41
170,44.6,60.8,64.4,64.4,66.2,55.4,53.6,44.6,26.6,35.6,37.4,39.2
171,50,62.6,68,69.8,68,59,57.2,44.6,26.6,37.4,37.4,42.8
172,51.8,64.4,69.8,71.6,71.6,60.8,57.2,48.2,33.8,35.6,41,42.8
173,59,66.2,75.2,80.6,84.2,80.6,73.4,69.8,66.2,60.8,55.4,59
